Country,IRC_Region,Lat,Long
Afghanistan,Asia,33,65
Bangladesh,Asia,23.685,90.3563
Burkina Faso,Africa,12.2383,-1.5616
Cameroon,Africa,3.848,11.5021
Central African Republic,Africa,6.6111,20.9394
Chad,Africa,15.4542,18.7322
Colombia,Latin America,4.5709,-74.2973
Democratic_Republic_of_the_Congo,Africa,-4.0383,21.7587
Cote_dIvoire,Africa,7.54,-5.5471
El Salvador,Latin America,13.7942,-88.8965
Ethiopia,Africa,9.145,40.4897
Iraq,Middle East,33,44
Jordan,Middle East,31.24,36.51
Kenya,Africa,-0.0236,37.9062
Lebanon,Middle East,33.8547,35.8623
Liberia,Africa,6.4281,-9.4295
Burma,Asia,21.9162,95.956
Mexico,Latin America,23.6345,-102.5528
Niger,Africa,17.6078,8.0817
Nigeria,Africa,9.082,8.6753
Malaysia,Asia,2.5,112.5
Somalia,Africa,5.1521,46.1996
Tanzania,Africa,-6.369,34.8888
Pakistan,Asia,30.3753,69.3451
Uganda,Africa,1,32
Venezuela,Latin America,6.4238,-66.5897
Zimbabwe,Africa,-20,30
Syria,Middle East,34.802075,38.996815
Libya,Africa,26.3351,17.228331
Mali,Africa,17.570692,-3.996166
Thailand,Asia,15,101
Burundi,Africa,-3.3731,29.9189
Sierra Leone,Africa,8.460555,-11.779889
South Sudan,Africa,6.877,31.307
Yemen,Middle East,15.552727,48.516388
